2026-01-27 23:16:07,145 - /workdir/AnoFusion/utils/main.py[line:367] - INFO: ('epoch:', '0', 'loss:', '0.003311170656835723')
2026-01-27 23:16:34,112 - /workdir/AnoFusion/utils/main.py[line:367] - INFO: ('epoch:', '1', 'loss:', '0.0021559453511798984')
2026-01-27 23:17:01,225 - /workdir/AnoFusion/utils/main.py[line:367] - INFO: ('epoch:', '2', 'loss:', '0.0015136178885717362')
2026-01-27 23:17:29,435 - /workdir/AnoFusion/utils/main.py[line:367] - INFO: ('epoch:', '3', 'loss:', '0.001265686385257018')
2026-01-27 23:17:56,724 - /workdir/AnoFusion/utils/main.py[line:367] - INFO: ('epoch:', '4', 'loss:', '0.0011889419037380434')
2026-01-27 23:18:24,513 - /workdir/AnoFusion/utils/main.py[line:367] - INFO: ('epoch:', '5', 'loss:', '0.0011699505029651703')
2026-01-27 23:18:53,047 - /workdir/AnoFusion/utils/main.py[line:367] - INFO: ('epoch:', '6', 'loss:', '0.001144775978614592')
2026-01-27 23:19:20,366 - /workdir/AnoFusion/utils/main.py[line:367] - INFO: ('epoch:', '7', 'loss:', '0.0011304166122847183')
2026-01-27 23:19:57,077 - /workdir/AnoFusion/utils/main.py[line:367] - INFO: ('epoch:', '8', 'loss:', '0.0011241290693137314')
2026-01-27 23:20:25,076 - /workdir/AnoFusion/utils/main.py[line:367] - INFO: ('epoch:', '9', 'loss:', '0.0011123313990865017')
2026-01-27 23:20:52,832 - /workdir/AnoFusion/utils/main.py[line:367] - INFO: ('epoch:', '10', 'loss:', '0.0011021372684921148')
2026-01-27 23:21:20,502 - /workdir/AnoFusion/utils/main.py[line:367] - INFO: ('epoch:', '11', 'loss:', '0.0010893076765834972')
2026-01-27 23:28:45,542 - /workdir/AnoFusion/utils/main.py[line:367] - INFO: ('epoch:', '0', 'loss:', '0.002988970191008673')
2026-01-27 23:29:12,378 - /workdir/AnoFusion/utils/main.py[line:367] - INFO: ('epoch:', '1', 'loss:', '0.0017259314674570151')
